band,start,end
http://dbpedia.org/resource/WC_and_the_Maad_Circle,"1990","1996"
http://dbpedia.org/resource/The_Flying_Lizards,"1976","1984"
http://dbpedia.org/resource/The_Famine,"2006","2011"
http://dbpedia.org/resource/The_Fixxers,"2006","2008"
http://dbpedia.org/resource/College_Boyz,"1991","1994"
http://dbpedia.org/resource/Brutal_Knights,"2006","2010"
http://dbpedia.org/resource/Gila_(band),"1969","1974"
http://dbpedia.org/resource/Die_Haut,"1982","1997"
http://dbpedia.org/resource/Zoax,"2013","2013"
http://dbpedia.org/resource/Dreamtone_&_Iris_Mavraki's_Neverland,"2005","2005"
http://dbpedia.org/resource/Headlights_(band),"2004","2012"
http://dbpedia.org/resource/Mint_Royale,"1997","2016"
http://dbpedia.org/resource/Single_File_(band),"2003","2010"
http://dbpedia.org/resource/Terri_&_Monica,"1988","1990"
http://dbpedia.org/resource/Hocico,"1993","1993"
http://dbpedia.org/resource/Phantom_Planet,"1994","2008"
http://dbpedia.org/resource/Planxty,"1972","1975"
http://dbpedia.org/resource/T.O.K.,"1996","2015"
http://dbpedia.org/resource/Curved_Air,"1970","1976"
http://dbpedia.org/resource/Glyder_(band),"2004","2010"
http://dbpedia.org/resource/Lucifer's_Friend,"1968","1970"
http://dbpedia.org/resource/Erreway,"2002","2002"
http://dbpedia.org/resource/Wreckx-n-Effect,"1987","1996"
http://dbpedia.org/resource/The_Ghost_of_a_Thousand,"2004","2011"
http://dbpedia.org/resource/The_Cunninghams,"1996","1998"
http://dbpedia.org/resource/The_Escape_Club,"1983","1983"
http://dbpedia.org/resource/Tortoise_(band),"1990","1990"
http://dbpedia.org/resource/Winger_(band),"1987","1994"
http://dbpedia.org/resource/Echobelly,"1992","2004"
http://dbpedia.org/resource/Asobi_Seksu,"2001","2001"
http://dbpedia.org/resource/Hey_Mercedes,"1999","2005"
http://dbpedia.org/resource/Reuben_(band),"1998","1998"
http://dbpedia.org/resource/Tree63,"1996","2009"
http://dbpedia.org/resource/Arc_Angels,"1990","1990"
http://dbpedia.org/resource/Cavedogs,"1987","1992"
http://dbpedia.org/resource/Coldcut,"1986","1986"
http://dbpedia.org/resource/Bongwater_(band),"1985","1985"
http://dbpedia.org/resource/Anal_Cunt,"1988","2001"
http://dbpedia.org/resource/Angelic_Upstarts,"1977","1977"
http://dbpedia.org/resource/The_Bluetones,"1993","1993"
http://dbpedia.org/resource/Mae_Moore,"1985","1985"
http://dbpedia.org/resource/The_Mr._T_Experience,"1985","1985"
http://dbpedia.org/resource/Intruder_(American_band),"1987","1992"
http://dbpedia.org/resource/Vazelina_Bilopphøggers,"1980","1980"
http://dbpedia.org/resource/Articles_of_Faith_(band),"1981","1981"
http://dbpedia.org/resource/The_Meters,"1965","1977"
http://dbpedia.org/resource/The_Tony_Danza_Tapdance_Extravaganza,"2004","2012"
http://dbpedia.org/resource/Cave_In,"1995","2006"
http://dbpedia.org/resource/Braid_(band),"1993","1999"
http://dbpedia.org/resource/I_Killed_the_Prom_Queen,"2000","2007"
http://dbpedia.org/resource/Two-Mix,"1995","1995"
http://dbpedia.org/resource/Steel_Train,"2002","2013"
http://dbpedia.org/resource/The_Civil_Wars,"2009","2014"
http://dbpedia.org/resource/Graham_Central_Station,"1973","1979"
http://dbpedia.org/resource/Sprung_Monkey,"1991","1991"
http://dbpedia.org/resource/The_Desert_Rose_Band,"1985","1994"
http://dbpedia.org/resource/Light_This_City,"2002","2008"
http://dbpedia.org/resource/Huffamoose,"1991","2001"
http://dbpedia.org/resource/The_Belle_Game,"2009","2009"
http://dbpedia.org/resource/Yaki-Da,"1994","1994"
http://dbpedia.org/resource/Sing_It_Loud,"2007","2007"
http://dbpedia.org/resource/Dizzy_Mizz_Lizzy,"1988","1998"
http://dbpedia.org/resource/Eddie_and_the_Hot_Rods,"1975","1981"
http://dbpedia.org/resource/Xtatik,"1984","1989"
http://dbpedia.org/resource/Bass_Outlaws,"1992","1999"
http://dbpedia.org/resource/The_Communards,"1985","1988"
http://dbpedia.org/resource/The_Spencer_Davis_Group,"1963","1969"
http://dbpedia.org/resource/Milligram_(band),"1996","2002"
http://dbpedia.org/resource/Youth_Brigade_(band),"1980","1987"
