album_id,year_id
1,0
2,1
3,2
4,1
5,3
7,5
8,1
9,5
10,6
11,7
12,4
13,8
14,9
15,10
16,4
17,11
18,12
19,5
20,13
21,5
22,14
23,9
24,1
25,15
26,7
27,3
28,6
29,13
30,13
28,6
28,16
31,17
32,13
33,6
30,17
34,16
35,4
36,18
37,3
38,4
39,15
40,18
41,2
42,1
43,0
44,12
45,2
46,18
47,7
48,19
49,16
50,20
50,20
51,1
52,12
53,7
54,16
55,16
57,12
57,16
58,19
59,16
60,21
61,8
62,15
63,18
64,13
65,10
66,19
67,17
68,16
68,16
69,13
70,17
68,16
71,22
68,16
68,16
68,16
72,13
73,6
74,22
75,21
76,1
77,21
78,6
79,6
80,13
81,10
82,9
83,23
84,24
85,13
88,12
89,21
90,13
91,5
92,17
93,16
94,12
95,16
96,5
97,12
98,6
99,13
100,16
101,13
102,17
103,4
105,13
106,13
107,15
108,5
109,0
111,1
112,1
113,7
114,19
115,11
116,4
117,25
118,0
119,4
120,26
121,27
122,21
123,4
124,0
125,5
126,15
129,3
130,6
131,5
132,13
133,24
134,21
135,6
136,13
137,7
138,1
139,0
138,1
140,1
141,15
142,16
143,14
144,27
145,16
145,16
146,19
146,19
147,10
148,28
149,29
151,15
152,0
152,0
153,12
154,3
155,0
156,3
157,24
158,1
159,15
160,0
161,0
162,31
163,27
164,3
165,16
166,0
167,2
168,4
169,0
170,32
171,7
172,23
173,10
174,5
175,15
175,15
176,1
177,0
178,1
179,5
180,5
181,1
182,0
183,12
184,1
185,21
186,7
187,0
188,2
189,2
190,9
191,17
192,8
193,23
194,19
196,9
197,19
198,24
199,8
200,17
202,17
203,24
204,19
204,19
205,21
206,21
207,0
208,21
209,27
209,27
210,33
208,5
209,27
210,33
208,21
211,5
212,4
213,1
214,4
215,15
216,29
217,16
218,7
219,15
220,15
221,5
224,12
225,33
226,32
227,11
228,12
229,21
230,21
231,12
232,8
233,22
234,13
235,16
236,12
237,22
238,17
239,7
240,10
241,24
242,2
243,3
244,15
245,9
246,0
247,12
248,15
243,3
249,4
250,9
252,18
253,15
254,1
255,15
256,16
257,5
258,3
259,3
260,7
261,15
262,1
263,15
264,3
265,18
266,24
267,28
268,3
270,3
271,2
272,0
273,2
274,0
276,0
277,2
276,0
278,17
279,5
280,35
281,13
282,7
283,4
284,23
285,32
286,12
287,16
288,0
289,21
289,21
288,0
288,0
290,5
290,5
286,12
289,12
289,12
291,22
292,16
293,16
294,1
295,1
296,13
297,12
298,16
299,5
300,0
302,5
303,1
304,26
305,0
306,22
307,23
308,5
309,24
310,2
305,0
307,23
311,18
305,0
307,23
305,0
313,11
314,28
316,0
317,29
319,26
320,13
321,18
322,10
323,18
324,9
325,3
326,11
327,6
328,2
329,5
329,5
330,1
327,6
329,5
331,5
332,0
333,2
334,12
335,5
337,4
340,15
342,2
343,8
344,15
345,9
346,17
347,32
348,1
349,22
350,24
352,32
353,10
354,5
355,28
356,14
357,11
358,5
359,9
360,5
361,21
362,6
363,1
364,24
366,6
367,5
368,17
366,6
368,17
369,12
370,17
370,13
370,13
370,17
371,3
372,5
373,5
374,12
375,3
373,5
376,10
377,23
378,24
380,11
381,21
382,9
383,4
384,23
385,2
386,7
394,0
385,2
399,0
385,2
386,7
399,0
399,0
401,21
402,17
403,6
405,13
406,12
406,12
407,21
408,6
409,6
