id1,id2
79,134
634,380
718,380
564,154
243,339
367,44
49,391
61,63
44,183
367,853
782,367
243,340
762,158
308,262
61,42
44,104
367,104
243,94
44,393
116,90
253,98
253,99
44,52
718,108
79,20
219,30
44,68
243,50
158,50
116,101
762,177
367,177
116,177
158,177
316,508
219,46
243,194
718,194
243,164
564,631
95,93
316,767
316,533
79,835
61,590
158,84
158,201
343,70
116,86
161,685
564,12
225,399
253,113
786,113
243,176
163,2
634,295
343,683
79,440
163,14
79,14
17,344
253,344
44,92
158,92
243,78
79,78
161,690
45,132
134,615
219,117
44,43
634,603
95,807
718,586
104,219
47,219
328,49
556,380
215,154
192,584
104,79
94,343
47,81
556,517
490,238
19,406
556,107
122,107
19,192
406,474
556,262
406,262
47,281
302,19
104,393
281,129
238,89
155,156
42,137
42,55
406,717
474,717
490,23
328,52
406,108
19,108
104,50
556,641
175,772
192,194
19,194
192,164
677,51
107,777
302,93
81,362
406,765
474,765
406,373
302,518
568,86
19,130
262,111
19,111
568,223
556,627
281,550
104,60
104,176
215,370
415,692
689,756
556,640
452,763
42,41
175,13
490,527
19,3
81,390
122,758
415,546
192,725
19,21
328,142
52,219
50,219
68,49
108,380
98,718
90,183
90,158
68,343
108,122
108,262
68,104
98,19
90,248
99,98
98,717
97,99
47,23
68,52
98,108
99,108
169,97
98,20
129,30
99,30
97,68
169,760
97,114
97,101
169,177
97,236
98,604
108,194
20,194
188,502
23,106
97,783
108,552
90,199
169,208
90,665
68,176
815,530
99,127
99,368
108,808
851,315
97,342
68,342
68,344
55,41
129,503
23,527
188,274
108,274
602,167
98,34
99,34
97,34
98,28
99,28
188,690
20,725
98,21
99,897
68,43
829,785
99,149
97,807
68,779
51,95
533,839
726,450
83,391
766,391
114,161
133,63
783,367
164,340
772,343
101,568
50,175
83,19
93,19
50,47
93,47
760,169
101,98
114,188
101,99
190,23
431,52
93,108
50,20
93,20
50,794
177,27
101,68
431,68
431,50
114,885
101,114
236,114
859,114
783,101
101,177
783,177
177,83
101,236
50,93
753,754
236,859
244,9
101,835
133,590
93,518
93,70
101,86
93,298
246,307
50,36
93,36
101,223
114,113
431,176
246,48
93,2
101,220
502,692
194,808
641,640
246,787
93,112
246,514
51,344
93,344
133,41
772,13
101,92
194,855
502,846
126,599
114,34
101,34
133,132
835,134
87,154
38,154
36,154
36,529
518,839
279,609
58,609
38,564
201,225
201,183
12,771
518,428
9,155
518,155
554,379
518,281
518,386
518,129
86,98
826,98
373,188
86,99
518,23
84,50
38,631
373,502
746,244
70,362
477,783
62,272
373,552
518,802
518,9
826,388
277,518
277,70
279,58
201,199
9,130
518,12
38,12
201,399
36,399
36,38
277,67
373,627
835,2
518,295
373,368
554,301
84,118
84,92
518,503
548,887
38,599
84,78
84,271
300,124
86,28
566,28
552,690
566,569
518,395
143,57
29,117
223,134
176,134
220,134
10,219
173,49
10,61
67,380
113,154
627,529
113,529
67,634
610,762
113,718
113,161
195,161
223,79
2,343
10,81
173,215
67,523
173,394
176,689
10,286
113,262
10,42
176,175
195,19
176,19
10,129
10,137
10,55
627,188
113,188
368,188
230,228
113,108
176,20
220,20
10,30
223,68
176,50
220,50
10,80
808,91
195,194
113,502
368,502
113,93
176,93
220,835
173,388
67,70
67,87
32,111
10,36
113,67
113,195
67,295
627,368
352,883
230,692
10,756
173,342
77,303
436,165
2,344
223,92
368,274
230,229
223,78
10,271
37,271
113,34
368,690
173,781
195,725
67,807
892,134
621,219
816,154
413,154
34,154
34,529
342,391
92,459
315,853
182,367
744,340
92,79
867,158
13,343
869,123
118,328
92,328
34,406
687,490
92,104
750,47
131,180
687,55
34,188
92,52
92,20
125,30
41,30
92,68
92,50
867,101
869,177
867,177
182,177
687,190
628,91
744,91
690,502
342,93
200,93
390,106
28,552
118,157
92,157
34,373
124,826
621,111
112,111
315,223
34,627
342,195
92,176
621,1
621,2
92,2
413,370
34,368
34,692
13,540
734,808
124,301
628,274
690,656
92,562
750,390
34,599
28,599
808,886
734,886
34,690
28,690
92,265
342,807
830,617
830,184
313,17
347,45
395,428
313,328
395,155
395,386
401,90
313,68
21,91
755,753
395,9
889,835
21,87
817,178
672,399
785,399
401,208
395,295
755,640
347,132
785,672
830,785
672,830
