bands,artists,isActive,exitCount
179,3654,0.0,1.0
183,190,0.0,1.0
183,3933,0.0,1.0
183,4414,0.0,1.0
183,7187,0.0,1.0
183,7901,0.0,1.0
187,11162,0.0,1.0
188,2893,1.0,0.0
189,1706,0.0,1.0
189,2073,0.0,1.0
189,9984,0.0,2.0
189,11270,0.0,1.0
191,2597,0.0,1.0
191,2688,0.0,1.0
191,9210,0.0,1.0
191,10173,0.0,1.0
191,11260,0.0,1.0
192,6256,0.0,1.0
194,312,1.0,0.0
194,1555,0.0,1.0
194,5644,0.0,1.0
194,10974,0.0,1.0
195,20,1.0,0.0
195,2178,1.0,0.0
196,9338,1.0,0.0
200,2316,0.0,1.0
200,3428,0.0,1.0
203,1918,0.0,1.0
203,5125,0.0,1.0
203,10680,0.0,1.0
204,118,1.0,0.0
205,75,1.0,0.0
205,5149,1.0,0.0
212,8147,1.0,0.0
212,11480,1.0,0.0
213,837,1.0,0.0
213,1871,0.0,1.0
213,4671,1.0,0.0
213,7470,0.0,1.0
213,7916,0.0,1.0
213,8007,1.0,0.0
219,9744,0.0,1.0
222,273,1.0,0.0
222,4450,0.0,1.0
222,4685,0.0,1.0
222,9584,1.0,0.0
223,1346,0.0,1.0
223,2111,0.0,1.0
223,3737,1.0,0.0
223,5600,1.0,0.0
223,6819,1.0,0.0
224,521,0.0,1.0
224,996,0.0,1.0
224,1936,0.0,1.0
224,3080,0.0,1.0
224,5551,0.0,1.0
224,6517,0.0,1.0
224,7226,0.0,1.0
224,8120,0.0,1.0
224,8128,0.0,1.0
224,8353,0.0,1.0
225,3082,0.0,1.0
225,4924,1.0,0.0
225,5708,1.0,0.0
227,2414,0.0,1.0
227,3123,0.0,1.0
227,3429,1.0,0.0
227,3452,0.0,1.0
227,6201,1.0,0.0
227,7699,0.0,1.0
227,10036,1.0,0.0
227,10348,0.0,1.0
227,11004,0.0,1.0
229,5382,1.0,0.0
229,7684,0.0,1.0
229,11145,0.0,1.0
230,884,0.0,1.0
230,1492,0.0,1.0
230,3390,0.0,1.0
230,6676,0.0,1.0
232,7166,1.0,0.0
233,1771,1.0,0.0
234,1315,0.0,1.0
234,2652,1.0,0.0
235,10755,1.0,0.0
239,11075,1.0,0.0
240,1436,0.0,1.0
240,2662,0.0,1.0
240,3006,1.0,0.0
240,5363,1.0,0.0
240,5410,1.0,0.0
241,5457,1.0,0.0
241,6200,1.0,0.0
241,8447,1.0,0.0
241,8925,1.0,0.0
241,9277,1.0,0.0
243,5821,1.0,0.0
243,5859,1.0,0.0
244,6343,0.0,1.0
244,11475,0.0,1.0
245,1119,0.0,1.0
245,2226,0.0,1.0
246,4556,1.0,0.0
247,2333,1.0,0.0
247,5324,1.0,0.0
248,1668,1.0,0.0
248,1814,1.0,0.0
248,3024,1.0,0.0
248,10924,0.0,1.0
250,2371,1.0,0.0
251,3964,0.0,2.0
254,2979,0.0,1.0
254,10965,1.0,0.0
257,9802,0.0,1.0
258,7185,1.0,0.0
